grant_name,logo,foundation_name,supported_chains,application_status,grant_prize,details_link,application_link,description,tags
Lens Protocol Grant,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F7fd84a4c-cfef-4391-91a0-533e88369de7&w=128&q=75,Lens Protocol Grant,Polygon,"April 12, 2023","  $15,000",https://aave.notion.site/Lensverse-a5926eab1d8148eda10053af9f4e28a0,https://airtable.com/shrUkRIxqcKgS05dX,"Lens Protocol is an open-source, public protocol. In that spirit, we support projects that generate public goods for the community and give ecosystem participants the opportunity to learn from and build on each other.

Anyone can apply for a grant from the Lens Protocol. That includes individuals, independent teams, non-profits, companies, universities, and academics.",Social
Coreum Grant Wave 2: Powering Smart Tokens,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F6843fe0d-7ffd-4991-be41-ca67c93713d0&w=128&q=75,Coreum Grant Wave 2: Powering Smart Tokens,Coreum,"April 12, 2023","$10,000  $150,000",https://www.coreum.com/grants,https://coreum.typeform.com/wave-2,The Coreum Development Foundation calls on all development teams and companies with  innovative Smart Token based projects with solid use cases that can leverage Coreum's Smart Token technology.,"Lending/Borrowing, Tooling, Applications, Stablecoin, Ecosystem, Wallet, IoT, DeFi, Oracle, Metaverse, NFT, GameFi, Governance, Exchange"
grant_name,logo,foundation_name,supported_chains,application_status,grant_prize,details_link,application_link,description,tags
Glass Surfers Dev Tooling Grants,,Ekstasis,,Accepting Applications,"$1 - $5,000",https://superteam.fun/instagrants/glass-surfers-dev-tooling-grants-program,https://airtable.com/shrYUPE5Tuvux5EIJ?prefill_Grants=Glass+Surfers+Devtooling+Grants+Program,"Apply to the Glass Surfer Grants Program if you’re building cool stuff that is required and useful for other Solana Devs and Projects! The program focusses on projects which make it easy to build on Solana, easier to add functionality, easier to integrate features, education, etc. Apply to the Glass Surfer Grants Program if you’re building cool stuff that is required and useful for other Solana Devs and Projects! The program focusses on projects which make it easy to build on Solana, easier to add functionality, easier to integrate features, education, etc.   Even though the primary focus of the grants is to fund dev-tools and big contributions to open source projects, we may also support the best of educational content that is aligned with the goals of the Grant program. Anyone with an idea or proof of work is welcome to apply and receive funding decision for a $1 - $5,000 grant.Even though the primary focus of the grants is to fund dev-tools and big contributions to open source projects, we may also support the best of educational content that is aligned with the goals of the Grant program. Anyone with an idea or proof of work is welcome to apply and receive funding decision for a $1 - $5,000 grant. Anyone! Anyone!  We try our best to get you a decision within 72 hours.We try our best to get you a decision within 72 hours. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team.  The only condition is that you keep the community updated on a regular basis as your project progresses.The only condition is that you keep the community updated on a regular basis as your project progresses. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time.   ","Development, Research, Community, Writing"
Superteam Pizza Fund,,Solana Foundation,,Accepting Applications,$1 - $200 USDC,https://superteam.fun/instagrants/pizza-fund,https://airtable.com/shrgf6Bs0jVw7Ooel,"Superteam now supports Solana Foundation Community Grants program and recommends applicants with the ability to galvanize the community with in-person events for community grants. Community dinners, meet-ups, experiences, weekend hackathons, etc., if you’re doing anything to (a) bring the community closer together, and (b) onboard those on the sidelines into crypto, feel free to apply. Currently, only Superteam members can be hosts but anyone can attend. If this format works, we will drop the host restriction and open it up to anyone in the Superteam ecosystem.Superteam now supports Solana Foundation Community Grants program and recommends applicants with the ability to galvanize the community with in-person events for community grants. Community dinners, meet-ups, experiences, weekend hackathons, etc., if you’re doing anything to (a) bring the community closer together, and (b) onboard those on the sidelines into crypto, feel free to apply. Currently, only Superteam members can be hosts but anyone can attend. If this format works, we will drop the host restriction and open it up to anyone in the Superteam ecosystem. The meetups are supposed to be a lot fun, but its not all there is to a valuable meet-up. To have a higher chance of success, and to get more from the Pizza Fund down the line, we recommend doing as many of these as possible:The meetups are supposed to be a lot fun, but its not all there is to a valuable meet-up. To have a higher chance of success, and to get more from the Pizza Fund down the line, we recommend doing as many of these as possible:⛺ Limited attendees: Invite a small group of not more than 8-10 people. Focus on a size and venue that enables everyone to talk to everyone else at least once. A generic web3 meetup isn’t the best fit for this, we’re only looking to support meetups where attendees are:⛺ Limited attendees: Invite a small group of not more than 8-10 people. Focus on a size and venue that enables everyone to talk to everyone else at least once. A generic web3 meetup isn’t the best fit for this, we’re only looking to support meetups where attendees are:DevelopersDevelopersArtistsArtistsCreators (writers, researchers, Youtubers, etc.)Creators (writers, researchers, Youtubers, etc.)Investors (both Angels and VCs)Investors (both Angels and VCs) This program is currently in beta and only open for Superteam Members in India, Germany, Turkey, Vietnam and Mexico.This program is currently in beta and only open for Superteam Members in India, Germany, Turkey, Vietnam and Mexico.  We try our best to get you a decision within 72 hours.We try our best to get you a decision within 72 hours. We prefer to support teams that have some prior experience in organizing events (regardless of how small) and events that are primarily focused on developers, artists, and investors.We prefer to support teams that have some prior experience in organizing events (regardless of how small) and events that are primarily focused on developers, artists, and investors. Unfortunately, our sponsors do not have the bandwidth to provide individualized feedback at this time. Unfortunately, our sponsors do not have the bandwidth to provide individualized feedback at this time.  ",Community
Superteam Artist & Community Founder Grants,,Solana Foundation,,Opening soon,"$1 - $10,000",https://superteam.fun/instagrants/community-founders-fund,https://airtable.com/shrYUPE5Tuvux5EIJ?prefill_Grants=Solana+Foundation+India+Grants+Program,"Superteam is helping Solana Foundation find, fund, and support visionary brand & community founders. These could be any type of communities — driven by art, a cult of personality, access to IRL perks like parties and hostels — all united by financial and philosophical alignment.Superteam is helping Solana Foundation find, fund, and support visionary brand & community founders. These could be any type of communities — driven by art, a cult of personality, access to IRL perks like parties and hostels — all united by financial and philosophical alignment. PFP drops, a jargon-filled roadmaps and lazy Discords are now artefacts of the bull market. The time is right to build life-long squads, of holders who aren’t buying to sell, bringing your online community together IRL, and creating an ecosystem of profitable businesses around them. PFP drops, a jargon-filled roadmaps and lazy Discords are now artefacts of the bull market. The time is right to build life-long squads, of holders who aren’t buying to sell, bringing your online community together IRL, and creating an ecosystem of profitable businesses around them.  Examples of this already exist:Examples of this already exist:  If you’re a creator looking to build a digitally native brand and expand via collaborative efforts of your community — this is the right place to start. We’ll get you a grant, share our experience in community building, and help you get started on Solana.If you’re a creator looking to build a digitally native brand and expand via collaborative efforts of your community — this is the right place to start. We’ll get you a grant, share our experience in community building, and help you get started on Solana. Ideally your community (whether new or pre-existing) has as many of the following characteristics as possible:Ideally your community (whether new or pre-existing) has as many of the following characteristics as possible:Unique art, brand or Intellectual Property;Unique art, brand or Intellectual Property;An expressly stated mission; (What big idea do you want to bring into the world?)An expressly stated mission; (What big idea do you want to bring into the world?)A social media presence;A social media presence;A member recruitment and onboarding process;A member recruitment and onboarding process;On-or-off-chain governance;On-or-off-chain governance;A leadership team or founder;A leadership team or founder;NFTs integrated into the community;NFTs integrated into the community;The capacity for collective action by pooling labour or capital;The capacity for collective action by pooling labour or capital;A dashboard to measure progress of the stated mission;A dashboard to measure progress of the stated mission; The more of those qualities that fit your community, the more “real” it is. It should have real purpose, real metrics, real leadership, and real money. And if it does, it’ll be in need of real tools.The more of those qualities that fit your community, the more “real” it is. It should have real purpose, real metrics, real leadership, and real money. And if it does, it’ll be in need of real tools. On Art. What art form are you taking this idea to the market with? Are they some kind of NFTs? A simple PFP collection, 1/1 art, music, a limited edition coffee table book or a community token. Possibilities aplenty, do what fits your plan the best.On Art. What art form are you taking this idea to the market with? Are they some kind of NFTs? A simple PFP collection, 1/1 art, music, a limited edition coffee table book or a community token. Possibilities aplenty, do what fits your plan the best. On business. Once you create a tight community and a brand you kick-off the next phase to make the community self sustainable. This involves helping your holders make a contributing to your project by starting a business or otherwise increasing the value of the IP. Kickstart a merch business, build a hotel, fund a podcast, start a crowded-funded movie or start the next Disney. On business. Once you create a tight community and a brand you kick-off the next phase to make the community self sustainable. This involves helping your holders make a contributing to your project by starting a business or otherwise increasing the value of the IP. Kickstart a merch business, build a hotel, fund a podcast, start a crowded-funded movie or start the next Disney.  The community founder will know what they can do best. We will follow your lead on what you think should be built. If you’re looking for inspiration, here are some things we are actively thinking about:The community founder will know what they can do best. We will follow your lead on what you think should be built. If you’re looking for inspiration, here are some things we are actively thinking about:  Anyone! Anyone!  We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team.  Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time.  ","Research, Community, Writing, Art, Design"
Solana Foundation India Grants,,Solana Foundation,,Accepting Applications,"$1 - $10,000",https://superteam.fun/instagrants/solana-foundation-india-grants,https://airtable.com/shrYUPE5Tuvux5EIJ?prefill_Grants=Solana+Foundation+India+Grants+Program,"Superteam now supports Solana Foundation Grants and recommends applicants with high community reputation scores. These are grants for projects working on promoting decentralization and censorship resistance on the Solana network. Even though the primary focus of the grants is to fund dApps and technical contribution, the Foundation may also support content and community grants that fit within the stated goals of the Grant program. Anyone with an idea or proof of work is welcome to apply and receive funding decision for a $1 - $10,000 grant. The Foundation hands out these grants typically once a month.Superteam now supports Solana Foundation Grants and recommends applicants with high community reputation scores. These are grants for projects working on promoting decentralization and censorship resistance on the Solana network. Even though the primary focus of the grants is to fund dApps and technical contribution, the Foundation may also support content and community grants that fit within the stated goals of the Grant program. Anyone with an idea or proof of work is welcome to apply and receive funding decision for a $1 - $10,000 grant. The Foundation hands out these grants typically once a month.  You can read more about the Solana Foundation Grants Program here, with some specific RFPs available here as well.You can read more about the Solana Foundation Grants Program here, with some specific RFPs available here as well. NOTE: The core team does not manage the Foundation’s grant program. We simply make recommendations to the sponsors of the grant program on quality grant applications. You are also free to apply directly on their website for a grant.NOTE: The core team does not manage the Foundation’s grant program. We simply make recommendations to the sponsors of the grant program on quality grant applications. You are also free to apply directly on their website for a grant. Anyone! Anyone!  We try our best to get you a decision within 72 hours.We try our best to get you a decision within 72 hours. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team.  The only condition is that you keep the community updated on a regular basis as your project progresses.The only condition is that you keep the community updated on a regular basis as your project progresses. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time.  ","Development, Research, Community, Writing"
Hxro Network - #ProofOfHxro Instagrants,,HXRO Network,,Accepting Applications,"$1 - $10,000 in HXRO",https://superteam.fun/instagrants/hxro-network-proofofhxro-instagrants,https://airtable.com/shrlRGUKNwFr48bmN,"Superteam now supports #ProofOfHxro Grants and recommends applicants with high community reputation scores for grants from Hxro Network. #ProofOfHxro grants are for any developer(s) building to either Hxro Network’s Parimutuel Protocol or Dexterity Protocol. Hxro is a distributed liquidity layer, and the primary infrastructure platform for building derivatives trading and betting applications on Solana. Developers can integrate their applications using Hxro’s easy-to-use Python and Typescript SDKs, which allow builders to focus on creating unique user experiences. Anyone with a proof-of-concept application connecting to core Hxro protocols is welcome to apply for the opportunity to be awarded a funding decision valued at up to $10,000 (paid in $esHXRO).Superteam now supports #ProofOfHxro Grants and recommends applicants with high community reputation scores for grants from Hxro Network. #ProofOfHxro grants are for any developer(s) building to either Hxro Network’s Parimutuel Protocol or Dexterity Protocol. Hxro is a distributed liquidity layer, and the primary infrastructure platform for building derivatives trading and betting applications on Solana. Developers can integrate their applications using Hxro’s easy-to-use Python and Typescript SDKs, which allow builders to focus on creating unique user experiences. Anyone with a proof-of-concept application connecting to core Hxro protocols is welcome to apply for the opportunity to be awarded a funding decision valued at up to $10,000 (paid in $esHXRO). Dexterity is a flexible, open-source collection of smart contracts that provide the exchange, risk, and settlement functions needed to launch and maintain any type of derivatives contract market.Dexterity is a flexible, open-source collection of smart contracts that provide the exchange, risk, and settlement functions needed to launch and maintain any type of derivatives contract market. Leverage Hxro’s Dexterity SDKs to create the next generation of derivatives DEXes and trading applicationsLeverage Hxro’s Dexterity SDKs to create the next generation of derivatives DEXes and trading applications Any team or individual that builds a proof-of-concept application using Hxro Network SDKs for either the Parimutuel Protocol or Dexterity Protocol is eligible to be awarded a #ProofOfHxro Grant.Any team or individual that builds a proof-of-concept application using Hxro Network SDKs for either the Parimutuel Protocol or Dexterity Protocol is eligible to be awarded a #ProofOfHxro Grant. Contributors will work diligently to respond to all grant applicants as quickly as possible. Applicants should expect to hear back within 72 hours of their initial submission, but response time may vary. Further processing time will depend on the review requirements and complexity of the application.Contributors will work diligently to respond to all grant applicants as quickly as possible. Applicants should expect to hear back within 72 hours of their initial submission, but response time may vary. Further processing time will depend on the review requirements and complexity of the application. Grant requests will be evaluated on a case-by-case basis. The awarded grant amount will be contingent on the complexity and/or novelty of the proof-of-concept project and your vision for what it can become in the future.Grant requests will be evaluated on a case-by-case basis. The awarded grant amount will be contingent on the complexity and/or novelty of the proof-of-concept project and your vision for what it can become in the future. Builders accepted to the #ProofOfHxro grant program are required to keep the Hxro community updated on a regular basis as your project progresses.Builders accepted to the #ProofOfHxro grant program are required to keep the Hxro community updated on a regular basis as your project progresses.  ",Development
Wormhole xGrants,,Wormhole,,Accepting Applications,"$1 - $10,000",https://superteam.fun/instagrants/wormhole-xgrants,https://airtable.com/shrmTwRe2UAaZZWrN,"Superteam is supporting the Wormhole xGrants! These are grants for projects and communities broadly working on taking crypto cross-chain. Even though the primary focus of the grants is to fund dApps, integrations and technical contribution, we’re happy to support dev tooling projects, educational content, developer tutorials as well as community and media work we’re aligned with. Anyone with an idea and some proof of work is welcome to apply and receive funding decision for a $1 - $10,000 grant within 48 hours. Upon approval by their team, payouts will be made as per Wormhole Foundation’s monthly grant cycle.Superteam is supporting the Wormhole xGrants! These are grants for projects and communities broadly working on taking crypto cross-chain. Even though the primary focus of the grants is to fund dApps, integrations and technical contribution, we’re happy to support dev tooling projects, educational content, developer tutorials as well as community and media work we’re aligned with. Anyone with an idea and some proof of work is welcome to apply and receive funding decision for a $1 - $10,000 grant within 48 hours. Upon approval by their team, payouts will be made as per Wormhole Foundation’s monthly grant cycle. Reference code for cross-chain deposits can be found here: https://github.com/wormhole-foundation/example-wormhole-nativeswapReference code for cross-chain deposits can be found here: https://github.com/wormhole-foundation/example-wormhole-nativeswap Reference code for an xChain borrow/lend application can be found here: https://github.com/wormhole-foundation/example-wormhole-lendingReference code for an xChain borrow/lend application can be found here: https://github.com/wormhole-foundation/example-wormhole-lending Big use-cases:Big use-cases: Anyone! Anyone!  We try our best to get you a decision within 72 hours.We try our best to get you a decision within 72 hours. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team.  The only condition is that you keep the community updated on a regular basis as your project progresses.The only condition is that you keep the community updated on a regular basis as your project progresses. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time.   ","Development, Writing, Community, Research"
Solana Foundation Vietnam Grants,,Solana Foundation,,Accepting Applications,"$1 - $10,000",https://superteam.fun/instagrants/solana-foundation-vietnam-grants,https://airtable.com/shrG6UT2xaCPuLqzW,"Instagrant là chương trình tài trợ từ cộng đồng Superteam quốc tế với mục tiêu giúp ai đang quan tâm tới hệ sinh thái Solana có thể bắt đầu học và tìm hiểu về hệ sinh thái bằng cách đưa ra những sáng kiến, dự án mới và nhận được tài trợ tối đa $10000 từ Superteam để triển khai sáng kiến, dự án đó. Thông qua những dự án như vậy bạn sẽ hiểu hơn về hệ sinh thái Solana, mang lại những đóng góp tích cực cho hệ sinh thái và dần trở thành một phần của cộng đồng Superteam.Instagrant là chương trình tài trợ từ cộng đồng Superteam quốc tế với mục tiêu giúp ai đang quan tâm tới hệ sinh thái Solana có thể bắt đầu học và tìm hiểu về hệ sinh thái bằng cách đưa ra những sáng kiến, dự án mới và nhận được tài trợ tối đa $10000 từ Superteam để triển khai sáng kiến, dự án đó. Thông qua những dự án như vậy bạn sẽ hiểu hơn về hệ sinh thái Solana, mang lại những đóng góp tích cực cho hệ sinh thái và dần trở thành một phần của cộng đồng Superteam. Tất cả mọi người ai quan tâm tới hệ sinh thái Solana đều có thể tham gia không giới hạn độ tuổi. Chúng tôi chào đón tất cả dự án đến từ các bạn học sinh, sinh viên, người đi làm, người làm việc tự do… v.v. Bạn có thể bất kỳ ai đang hoạt động trong các lĩnh vực nhưng không giới hạn tới: lập trình, đào tạo, sáng tạo nội dung, thiết kế, nghiên cứu, xây dựng cộng đồng..v.v Tất cả mọi người ai quan tâm tới hệ sinh thái Solana đều có thể tham gia không giới hạn độ tuổi. Chúng tôi chào đón tất cả dự án đến từ các bạn học sinh, sinh viên, người đi làm, người làm việc tự do… v.v. Bạn có thể bất kỳ ai đang hoạt động trong các lĩnh vực nhưng không giới hạn tới: lập trình, đào tạo, sáng tạo nội dung, thiết kế, nghiên cứu, xây dựng cộng đồng..v.v   Chúng tôi đặc biệt chào đón các dự án về chủ đề Xây dựng cộng đồng giúp nhiều người biết đến, tham gia, làm việc và phát triển trên hệ sinh thái Solana nhiều hơn. Bạn có thể thành lập câu lạc bộ chia sẻ về Web3 và Solana tại trường đại học hay nơi bạn sinh sống, sáng tạo ra các kênh nội dung để chia sẻ về các hoạt động của Solana, thiết kế các workshop, sự kiện chia sẻ kiến thức…v.v Nếu bạn cần tư vấn thêm về ý tưởng có thể liên hệ với các thành viên của Superteam Vietnam qua Discord nhé.Chúng tôi đặc biệt chào đón các dự án về chủ đề Xây dựng cộng đồng giúp nhiều người biết đến, tham gia, làm việc và phát triển trên hệ sinh thái Solana nhiều hơn. Bạn có thể thành lập câu lạc bộ chia sẻ về Web3 và Solana tại trường đại học hay nơi bạn sinh sống, sáng tạo ra các kênh nội dung để chia sẻ về các hoạt động của Solana, thiết kế các workshop, sự kiện chia sẻ kiến thức…v.v Nếu bạn cần tư vấn thêm về ý tưởng có thể liên hệ với các thành viên của Superteam Vietnam qua Discord nhé.  Lời khuyên quan trọng: Lời khuyên quan trọng:   Bạn sẽ nhận được email thông báo đơn đăng ký của bạn đã được tiếp nhận. Chúng tôi sẽ phản hồi đơn đăng ký của bạn trong vòng 72 giờ.Bạn sẽ nhận được email thông báo đơn đăng ký của bạn đã được tiếp nhận. Chúng tôi sẽ phản hồi đơn đăng ký của bạn trong vòng 72 giờ. Có 3 tiêu chí quan trọng nhất chúng tôi sẽ đánh giá dự án của bạn. Hãy lưu ý để làm rõ trong bản trình bày dự án của bạn nhé:Có 3 tiêu chí quan trọng nhất chúng tôi sẽ đánh giá dự án của bạn. Hãy lưu ý để làm rõ trong bản trình bày dự án của bạn nhé: Bạn có thể tham khảo các dự án đã được tài trợ tại bởi Superteam ở các nước khác ở đây. Xin lưu ý là mỗi nước khác nhau sẽ có ưu tiên về chủ đề tài trợ riêng.Bạn có thể tham khảo các dự án đã được tài trợ tại bởi Superteam ở các nước khác ở đây. Xin lưu ý là mỗi nước khác nhau sẽ có ưu tiên về chủ đề tài trợ riêng. Cả hai. Hãy trình bày dự án bằng ngôn ngữ bạn thấy thoải mái và tự tin nhất.Cả hai. Hãy trình bày dự án bằng ngôn ngữ bạn thấy thoải mái và tự tin nhất. Cho đến khi chúng tôi thông báo chương trình kết thúc. Tuy nhiên bạn đăng ký càng sớm sẽ càng có lợi thế hơn khi các ý tưởng dự án không bị trùng nhau. Cho đến khi chúng tôi thông báo chương trình kết thúc. Tuy nhiên bạn đăng ký càng sớm sẽ càng có lợi thế hơn khi các ý tưởng dự án không bị trùng nhau.  Số tiền có thể đăng ký tài trợ là $1000 - $10.000. Nếu dự án của bạn lớn và cần nhiều tài trợ hơn bạn có thể chia nhỏ dựa án và đăng ký tài trợ cho những dự án nhỏ hơn.Số tiền có thể đăng ký tài trợ là $1000 - $10.000. Nếu dự án của bạn lớn và cần nhiều tài trợ hơn bạn có thể chia nhỏ dựa án và đăng ký tài trợ cho những dự án nhỏ hơn. Hãy liên lạc với các thành viên Superteam Vietnam để được tư vấn và hỗ trợ việc viết đề xuất tốt hơn.Hãy liên lạc với các thành viên Superteam Vietnam để được tư vấn và hỗ trợ việc viết đề xuất tốt hơn.  ","Development, Research, Community, Writing"
Solana x NAS Academy Developer Grants,,Solana Foundation,,Accepting Applications,"$1 - $5,000",https://superteam.fun/instagrants/nas-academy,,"Solana Foundation and Nas Academy are opening up a special Grant Program for the best students of the Nas Academy Solana Course. These grants will help fund new Solana developers with amounts upto $3000 in USDC to build and ship their Solana project.Solana Foundation and Nas Academy are opening up a special Grant Program for the best students of the Nas Academy Solana Course. These grants will help fund new Solana developers with amounts upto $3000 in USDC to build and ship their Solana project. The primary focus of the grant program is to fund dApps, developer tooling, and technical contribution, but the Foundation may also support content, tutorials and educational content that fit within the stated goals of the Grant program.The primary focus of the grant program is to fund dApps, developer tooling, and technical contribution, but the Foundation may also support content, tutorials and educational content that fit within the stated goals of the Grant program. Anyone with an idea or proof of work is welcome to apply and receive funding decision for a $1 - $3,000 grant. The Foundation hands out these grants typically once a month.Anyone with an idea or proof of work is welcome to apply and receive funding decision for a $1 - $3,000 grant. The Foundation hands out these grants typically once a month.  NOTE: The core team does not manage the Foundation’s grant program. We simply make recommendations to the sponsors of the grant program on quality grant applications. You are also free to apply directly on their website for a grant.NOTE: The core team does not manage the Foundation’s grant program. We simply make recommendations to the sponsors of the grant program on quality grant applications. You are also free to apply directly on their website for a grant. Anyone! Anyone!  We try our best to you get you a decision within 72 hours.We try our best to you get you a decision within 72 hours. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team.  The only condition is that you keep the community updated on a regular basis as your project progresses.The only condition is that you keep the community updated on a regular basis as your project progresses. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time.  ","Development, Research"
Seahorse Language Grants,,Solana Foundation,,Accepting Applications,"$1 - $2,000",https://superteam.fun/instagrants/seahorse-language-grants,https://airtable.com/shr5c7ENdRvSgHlQF?prefill_Grant+Program=Seahorse+Grants+Program,"Superteam now supports Seahorse Language Grants and recommends applicants with high community reputation scores to the Solana Foundation. These are grants for individuals and teams contributing to core development & educational content, and sample programs for and related to the Seahorse language. The Foundation may also support grants beyond these three stated goals of the Grant program. Anyone with an idea or proof of work is welcome to apply and receive funding decision for a $1 - $2,000 grant. The Foundation hands out these grants typically once in two weeks.Superteam now supports Seahorse Language Grants and recommends applicants with high community reputation scores to the Solana Foundation. These are grants for individuals and teams contributing to core development & educational content, and sample programs for and related to the Seahorse language. The Foundation may also support grants beyond these three stated goals of the Grant program. Anyone with an idea or proof of work is welcome to apply and receive funding decision for a $1 - $2,000 grant. The Foundation hands out these grants typically once in two weeks. NOTE: The core team does not manage the Foundation’s grant program. We simply make recommendations to the sponsors of the grant program on quality grant applications. You are also free to apply directly on their website for a grant.NOTE: The core team does not manage the Foundation’s grant program. We simply make recommendations to the sponsors of the grant program on quality grant applications. You are also free to apply directly on their website for a grant. Anyone! Anyone!  We try our best to get you a decision within 72 hours.We try our best to get you a decision within 72 hours. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team.  The only condition is that you keep the community updated on a regular basis as your project progresses.The only condition is that you keep the community updated on a regular basis as your project progresses. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time. ","Development, Research, Community, Writing"
Crypto Writers Grant,,Solana Foundation,,Accepting Applications,"$1 - $1,500",https://superteam.fun/instagrants/crypto-writers-grant,https://airtable.com/shrYUPE5Tuvux5EIJ?prefill_Grants=Crypto+Writers+Grant+Program,"Superteam now supports the Crypto Writers Grants Program and recommends applicants with high community reputation scores to the Solana Foundation for grants. Superteam now supports the Crypto Writers Grants Program and recommends applicants with high community reputation scores to the Solana Foundation for grants.  This is a grant program specifically meant for writers across levels of expertise, to write long-form pieces about the interesting things happening in crypto. Bonus points if you write about Solana, Wormhole, Pyth, and xNFTs. This is a grant program specifically meant for writers across levels of expertise, to write long-form pieces about the interesting things happening in crypto. Bonus points if you write about Solana, Wormhole, Pyth, and xNFTs.  Anyone with a writing proposal and proof of high-quality writing ability is welcome to apply and receive funding decision for a $1 - $1,500 grant. The Foundation hands out these grants typically once a month.Anyone with a writing proposal and proof of high-quality writing ability is welcome to apply and receive funding decision for a $1 - $1,500 grant. The Foundation hands out these grants typically once a month. Anyone! Anyone!  We try our best to get you a decision within 72 hours.We try our best to get you a decision within 72 hours. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team.  The only condition is that you keep the community updated on a regular basis as your project progresses.The only condition is that you keep the community updated on a regular basis as your project progresses. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time.  ","Development, Research, Community, Writing"
Build the Creator Economy,,Chingari,,Closed,"$1 - $10,000",https://superteam.fun/instagrants/gari-dao-grants,,"Chingari is the largest on-chain social graph in Web3. Through the GARI DAO, they aim to help creators everywhere better connect, engage and monetize their audiences. Chingari is the largest on-chain social graph in Web3. Through the GARI DAO, they aim to help creators everywhere better connect, engage and monetize their audiences.   Chingari & Gari Network is proud to be continuing the GARI Instagrants program through the GDD Grants program that would be a developer focused grant program to motivate young builders and contribute to the GARI Ecosystem.
Chingari & Gari Network is proud to be continuing the GARI Instagrants program through the GDD Grants program that would be a developer focused grant program to motivate young builders and contribute to the GARI Ecosystem.
 In order to make Solana, the choice for builders, Gari Network is continuing the 100k pool of funds to fund anyone to build on tooling to empower the creator economy on Solana. Here are a few examples that will help you buildIn order to make Solana, the choice for builders, Gari Network is continuing the 100k pool of funds to fund anyone to build on tooling to empower the creator economy on Solana. Here are a few examples that will help you build Ultimately, we hope this program accelerates the adoption of Solana as the chain of choice for creators. We are particularly hopeful that a number of public goods will be created through this partnership that can be leveraged by GARI DAO and everyone else building towards a vibrant creator economy on Solana.Ultimately, we hope this program accelerates the adoption of Solana as the chain of choice for creators. We are particularly hopeful that a number of public goods will be created through this partnership that can be leveraged by GARI DAO and everyone else building towards a vibrant creator economy on Solana.  Socials: Socials:   Our sponsors are busy working on their projects and may not have the time to give you detailed feedback on every application. Please keep that in mind before you apply. For possible clarifications & alpha, reach out to the GDD Home-page to get onboarded to the Developer sub-DAO!Our sponsors are busy working on their projects and may not have the time to give you detailed feedback on every application. Please keep that in mind before you apply. For possible clarifications & alpha, reach out to the GDD Home-page to get onboarded to the Developer sub-DAO!   Anyone! Anyone!  Decisions are made by a select group of Members from the SuperteamDAO. Decisions are made by a select group of Members from the SuperteamDAO.  We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team. We prefer projects that 1) yield results quickly and 2) are executable by the Proposing team.  The only condition is that you keep the community updated on a regular basis as your project progresses.The only condition is that you keep the community updated on a regular basis as your project progresses. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time. Unfortunately, our sponsors do not have the ability to provide individualized feedback at this time.  ","Development, Writing, Research, Community"
